Date	THETT                         0-  1          004   1	THETT                         1-  3          004   2	THETT                         3-  4          004   3	THETT                         4-  6          004   5	THETT                         6-  8          004   7	THETT                         8- 10          004   9	THETT                        10- 12          004  11	THETT                        12- 13          004  13	THETT                        13- 15          004  14	THETT                        15- 17          004  16	THETT                        17- 19          004  18	THETT                        19- 20          004  19	THETT                        20- 22          004  21	THETT                        22- 24          004  23	THETT                        24- 25          004  24	THETT                        25- 27          004  26	THETT                        27- 28          004  28	THETT                        28- 30          004  29	THETT                        30- 32          004  31	THETT                        32- 33          004  32	THETT                        33- 35          004  34	THETT                        35- 37          004  36	THETT                        37- 38          004  37	THETT                        38- 40          004  39	THETT                        40- 42          004  41	THETT                        42- 43          004  43	THETT                        43- 45          004  44	THETT                        45- 47          004  46	THETT                        47- 49          004  48	THETT                        49- 50          004  49	THETT                        50- 52          004  51	THETT                        52- 54          004  53	THETT                        54- 55          004  54	THETT                        55- 57          004  56	THETT                        57- 58          004  58	THETT                        58- 60          004  59	THETT                        60- 62          004  61	THETT                        62- 63          004  62	THETT                        63- 65          004  64	THETT                        65- 66          004  66	THETT                        66- 68          004  67	THETT                        68- 70          004  69	THETT                        70- 72          004  71	THETT                        72- 73          004  72	THETT                        73- 75          004  74	THETT                        75- 77          004  76	THETT                        77- 78          004  77	THETT                        78- 80          004  79	THETT                        80- 82          004  81	THETT                        82- 83          004  83	THETT                        83- 85          004  84	THETT                        85- 87          004  86	THETT                        87- 89          004  88	THETT                        89- 90          004  89	THETT                        90- 92          004  91	THETT                        92- 94          004  93	THETT                        94- 95          004  94	THETT                        95- 97          004  96	THETT                        97- 98          004  98	THETT                        98-100          004  99	
198701020000	3.95202E-01	3.95128E-01	3.95224E-01	3.95530E-01	3.95982E-01	3.96623E-01	3.97335E-01	3.97967E-01	3.98616E-01	3.99278E-01	3.99953E-01	4.00641E-01	4.01343E-01	4.02057E-01	4.02764E-01	4.03463E-01	4.04175E-01	4.04900E-01	4.05640E-01	4.06395E-01	4.07189E-01	4.08025E-01	4.08880E-01	4.09755E-01	4.10650E-01	4.11566E-01	4.12505E-01	4.13467E-01	4.14454E-01	4.15466E-01	4.16505E-01	4.17572E-01	4.18637E-01	4.19697E-01	4.20787E-01	4.21907E-01	4.23059E-01	4.24246E-01	4.25468E-01	4.26728E-01	4.28070E-01	4.29500E-01	4.30981E-01	4.32516E-01	4.34110E-01	4.35766E-01	4.37489E-01	4.39283E-01	4.41154E-01	4.43108E-01	4.45150E-01	4.47287E-01	4.49526E-01	4.50002E-01	4.50054E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66385E-01	4.85413E-01	
198701030000	3.96463E-01	3.96371E-01	3.96337E-01	3.96435E-01	3.96662E-01	3.97064E-01	3.97607E-01	3.98137E-01	3.98718E-01	3.99338E-01	3.99987E-01	4.00660E-01	4.01353E-01	4.02063E-01	4.02767E-01	4.03464E-01	4.04176E-01	4.04901E-01	4.05640E-01	4.06395E-01	4.07189E-01	4.08025E-01	4.08880E-01	4.09755E-01	4.10650E-01	4.11566E-01	4.12505E-01	4.13467E-01	4.14454E-01	4.15466E-01	4.16505E-01	4.17572E-01	4.18637E-01	4.19697E-01	4.20787E-01	4.21907E-01	4.23059E-01	4.24246E-01	4.25468E-01	4.26728E-01	4.28070E-01	4.29500E-01	4.30981E-01	4.32516E-01	4.34110E-01	4.35766E-01	4.37489E-01	4.39283E-01	4.41154E-01	4.43108E-01	4.45150E-01	4.47287E-01	4.49526E-01	4.50003E-01	4.50055E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66385E-01	4.85413E-01	
198701040000	4.09694E-01	4.08662E-01	4.06305E-01	4.03258E-01	4.00881E-01	3.99151E-01	3.98648E-01	3.98711E-01	3.99057E-01	3.99552E-01	4.00129E-01	4.00756E-01	4.01417E-01	4.02105E-01	4.02795E-01	4.03483E-01	4.04188E-01	4.04909E-01	4.05645E-01	4.06398E-01	4.07191E-01	4.08027E-01	4.08881E-01	4.09755E-01	4.10650E-01	4.11566E-01	4.12505E-01	4.13467E-01	4.14454E-01	4.15466E-01	4.16505E-01	4.17572E-01	4.18637E-01	4.19697E-01	4.20787E-01	4.21907E-01	4.23059E-01	4.24246E-01	4.25468E-01	4.26728E-01	4.28070E-01	4.29500E-01	4.30981E-01	4.32516E-01	4.34110E-01	4.35766E-01	4.37489E-01	4.39283E-01	4.41154E-01	4.43108E-01	4.45150E-01	4.47287E-01	4.49526E-01	4.50004E-01	4.50057E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66385E-01	4.85413E-01	
198701050000	4.25816E-01	4.25479E-01	4.24292E-01	4.22280E-01	4.19425E-01	4.15040E-01	4.10190E-01	4.06548E-01	4.03984E-01	4.02452E-01	4.01774E-01	4.01681E-01	4.01943E-01	4.02409E-01	4.02978E-01	4.03596E-01	4.04258E-01	4.04954E-01	4.05674E-01	4.06417E-01	4.07204E-01	4.08035E-01	4.08886E-01	4.09759E-01	4.10652E-01	4.11568E-01	4.12506E-01	4.13467E-01	4.14454E-01	4.15466E-01	4.16505E-01	4.17572E-01	4.18637E-01	4.19697E-01	4.20786E-01	4.21907E-01	4.23059E-01	4.24245E-01	4.25468E-01	4.26728E-01	4.28070E-01	4.29499E-01	4.30980E-01	4.32516E-01	4.34110E-01	4.35766E-01	4.37489E-01	4.39283E-01	4.41154E-01	4.43108E-01	4.45150E-01	4.47287E-01	4.49526E-01	4.50005E-01	4.50057E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85412E-01	
198701060000	4.24368E-01	4.25112E-01	4.25588E-01	4.25571E-01	4.25037E-01	4.23769E-01	4.21694E-01	4.19403E-01	4.16719E-01	4.13857E-01	4.11115E-01	4.08775E-01	4.07008E-01	4.05851E-01	4.05260E-01	4.05083E-01	4.05207E-01	4.05550E-01	4.06046E-01	4.06648E-01	4.07344E-01	4.08120E-01	4.08938E-01	4.09791E-01	4.10672E-01	4.11580E-01	4.12514E-01	4.13473E-01	4.14457E-01	4.15468E-01	4.16506E-01	4.17573E-01	4.18637E-01	4.19698E-01	4.20787E-01	4.21907E-01	4.23059E-01	4.24246E-01	4.25468E-01	4.26728E-01	4.28070E-01	4.29499E-01	4.30980E-01	4.32516E-01	4.34110E-01	4.35766E-01	4.37489E-01	4.39283E-01	4.41154E-01	4.43108E-01	4.45150E-01	4.47287E-01	4.49526E-01	4.50006E-01	4.50059E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85412E-01	
198701070000	4.17675E-01	4.18374E-01	4.19005E-01	4.19384E-01	4.19498E-01	4.19325E-01	4.18754E-01	4.18026E-01	4.17077E-01	4.15940E-01	4.14661E-01	4.13305E-01	4.11950E-01	4.10687E-01	4.09632E-01	4.08819E-01	4.08249E-01	4.07930E-01	4.07847E-01	4.07975E-01	4.08290E-01	4.08774E-01	4.09385E-01	4.10092E-01	4.10873E-01	4.11714E-01	4.12602E-01	4.13531E-01	4.14496E-01	4.15494E-01	4.16523E-01	4.17585E-01	4.18645E-01	4.19703E-01	4.20791E-01	4.21910E-01	4.23061E-01	4.24247E-01	4.25469E-01	4.26729E-01	4.28070E-01	4.29500E-01	4.30981E-01	4.32516E-01	4.34110E-01	4.35766E-01	4.37489E-01	4.39283E-01	4.41154E-01	4.43108E-01	4.45150E-01	4.47287E-01	4.49526E-01	4.50007E-01	4.50059E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85413E-01	
198701080000	4.14212E-01	4.14881E-01	4.15553E-01	4.16060E-01	4.16388E-01	4.16571E-01	4.16489E-01	4.16263E-01	4.15894E-01	4.15396E-01	4.14789E-01	4.14101E-01	4.13361E-01	4.12608E-01	4.11904E-01	4.11280E-01	4.10747E-01	4.10332E-01	4.10055E-01	4.09927E-01	4.09949E-01	4.10135E-01	4.10472E-01	4.10941E-01	4.11524E-01	4.12206E-01	4.12969E-01	4.13802E-01	4.14694E-01	4.15638E-01	4.16628E-01	4.17660E-01	4.18700E-01	4.19743E-01	4.20820E-01	4.21931E-01	4.23077E-01	4.24259E-01	4.25477E-01	4.26735E-01	4.28075E-01	4.29503E-01	4.30983E-01	4.32518E-01	4.34111E-01	4.35767E-01	4.37489E-01	4.39284E-01	4.41155E-01	4.43108E-01	4.45150E-01	4.47287E-01	4.49526E-01	4.50008E-01	4.50060E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85413E-01	
198701090000	4.11919E-01	4.12565E-01	4.13253E-01	4.13823E-01	4.14258E-01	4.14621E-01	4.14786E-01	4.14814E-01	4.14737E-01	4.14565E-01	4.14310E-01	4.13988E-01	4.13616E-01	4.13213E-01	4.12816E-01	4.12443E-01	4.12105E-01	4.11820E-01	4.11605E-01	4.11475E-01	4.11441E-01	4.11521E-01	4.11721E-01	4.12037E-01	4.12466E-01	4.12998E-01	4.13625E-01	4.14337E-01	4.15125E-01	4.15982E-01	4.16900E-01	4.17874E-01	4.18868E-01	4.19876E-01	4.20925E-01	4.22013E-01	4.23141E-01	4.24309E-01	4.25517E-01	4.26766E-01	4.28099E-01	4.29522E-01	4.30997E-01	4.32529E-01	4.34120E-01	4.35774E-01	4.37495E-01	4.39288E-01	4.41158E-01	4.43110E-01	4.45152E-01	4.47288E-01	4.49527E-01	4.50016E-01	4.50063E-01	4.50486E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85413E-01	
198701100000	4.10233E-01	4.10862E-01	4.11556E-01	4.12161E-01	4.12660E-01	4.13130E-01	4.13445E-01	4.13626E-01	4.13724E-01	4.13749E-01	4.13708E-01	4.13613E-01	4.13474E-01	4.13304E-01	4.13125E-01	4.12949E-01	4.12786E-01	4.12648E-01	4.12548E-01	4.12499E-01	4.12510E-01	4.12600E-01	4.12776E-01	4.13041E-01	4.13399E-01	4.13847E-01	4.14383E-01	4.15004E-01	4.15704E-01	4.16477E-01	4.17320E-01	4.18226E-01	4.19164E-01	4.20124E-01	4.21131E-01	4.22185E-01	4.23283E-01	4.24426E-01	4.25613E-01	4.26845E-01	4.28164E-01	4.29574E-01	4.31040E-01	4.32563E-01	4.34147E-01	4.35796E-01	4.37512E-01	4.39302E-01	4.41168E-01	4.43119E-01	4.45158E-01	4.47293E-01	4.49530E-01	4.50057E-01	4.50081E-01	4.50490E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85413E-01	
198701110000	4.08917E-01	4.09533E-01	4.10228E-01	4.10855E-01	4.11395E-01	4.11935E-01	4.12349E-01	4.12630E-01	4.12846E-01	4.13001E-01	4.13104E-01	4.13161E-01	4.13182E-01	4.13175E-01	4.13152E-01	4.13123E-01	4.13098E-01	4.13086E-01	4.13096E-01	4.13138E-01	4.13223E-01	4.13364E-01	4.13568E-01	4.13840E-01	4.14183E-01	4.14602E-01	4.15096E-01	4.15666E-01	4.16309E-01	4.17024E-01	4.17808E-01	4.18658E-01	4.19544E-01	4.20457E-01	4.21421E-01	4.22436E-01	4.23500E-01	4.24613E-01	4.25773E-01	4.26982E-01	4.28279E-01	4.29671E-01	4.31121E-01	4.32631E-01	4.34204E-01	4.35842E-01	4.37550E-01	4.39332E-01	4.41193E-01	4.43138E-01	4.45172E-01	4.47303E-01	4.49536E-01	4.50188E-01	4.50137E-01	4.50510E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85413E-01	
198701120000	4.07850E-01	4.08455E-01	4.09150E-01	4.09790E-01	4.10358E-01	4.10948E-01	4.11431E-01	4.11783E-01	4.12081E-01	4.12329E-01	4.12534E-01	4.12700E-01	4.12835E-01	4.12946E-01	4.13039E-01	4.13121E-01	4.13203E-01	4.13292E-01	4.13396E-01	4.13521E-01	4.13680E-01	4.13883E-01	4.14133E-01	4.14435E-01	4.14795E-01	4.15216E-01	4.15700E-01	4.16250E-01	4.16866E-01	4.17547E-01	4.18293E-01	4.19104E-01	4.19950E-01	4.20826E-01	4.21754E-01	4.22735E-01	4.23766E-01	4.24849E-01	4.25981E-01	4.27165E-01	4.28439E-01	4.29809E-01	4.31239E-01	4.32732E-01	4.34289E-01	4.35914E-01	4.37610E-01	4.39381E-01	4.41232E-01	4.43168E-01	4.45194E-01	4.47318E-01	4.49544E-01	4.50517E-01	4.50263E-01	4.50553E-01	4.52158E-01	4.56585E-01	4.66385E-01	4.85413E-01	
198701130000	4.06957E-01	4.07552E-01	4.08245E-01	4.08895E-01	4.09483E-01	4.10108E-01	4.10641E-01	4.11047E-01	4.11405E-01	4.11722E-01	4.12002E-01	4.12250E-01	4.12472E-01	4.12672E-01	4.12853E-01	4.13021E-01	4.13188E-01	4.13359E-01	4.13540E-01	4.13737E-01	4.13963E-01	4.14226E-01	4.14525E-01	4.14866E-01	4.15255E-01	4.15693E-01	4.16186E-01	4.16736E-01	4.17343E-01	4.18010E-01	4.18736E-01	4.19522E-01	4.20343E-01	4.21192E-01	4.22093E-01	4.23046E-01	4.24050E-01	4.25106E-01	4.26214E-01	4.27373E-01	4.28624E-01	4.29971E-01	4.31381E-01	4.32854E-01	4.34394E-01	4.36003E-01	4.37684E-01	4.39441E-01	4.41280E-01	4.43204E-01	4.45220E-01	4.47334E-01	4.49552E-01	4.51208E-01	4.50502E-01	4.50593E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85412E-01	
198701140000	4.06188E-01	4.06775E-01	4.07466E-01	4.08121E-01	4.08724E-01	4.09376E-01	4.09948E-01	4.10394E-01	4.10800E-01	4.11170E-01	4.11508E-01	4.11820E-01	4.12108E-01	4.12379E-01	4.12630E-01	4.12866E-01	4.13101E-01	4.13339E-01	4.13584E-01	4.13842E-01	4.14126E-01	4.14443E-01	4.14790E-01	4.15172E-01	4.15593E-01	4.16057E-01	4.16567E-01	4.17127E-01	4.17738E-01	4.18402E-01	4.19121E-01	4.19895E-01	4.20701E-01	4.21532E-01	4.22414E-01	4.23347E-01	4.24330E-01	4.25365E-01	4.26451E-01	4.27589E-01	4.28819E-01	4.30146E-01	4.31535E-01	4.32990E-01	4.34512E-01	4.36103E-01	4.37769E-01	4.39512E-01	4.41338E-01	4.43251E-01	4.45256E-01	4.47360E-01	4.49570E-01	4.51849E-01	4.51216E-01	4.50720E-01	4.52158E-01	4.56585E-01	4.66384E-01	4.85412E-01	
198701150000	4.05623E-01	4.06173E-01	4.06834E-01	4.07475E-01	4.08077E-01	4.08741E-01	4.09341E-01	4.09816E-01	4.10258E-01	4.10670E-01	4.11054E-01	4.11415E-01	4.11757E-01	4.12083E-01	4.12390E-01	4.12681E-01	4.12971E-01	4.13263E-01	4.13562E-01	4.13871E-01	4.14205E-01	4.14569E-01	4.14959E-01	4.15379E-01	4.15833E-01	4.16323E-01	4.16855E-01	4.17430E-01	4.18051E-01	4.18720E-01	4.19439E-01	4.20210E-01	4.21008E-01	4.21830E-01	4.22700E-01	4.23619E-01	4.24587E-01	4.25606E-01	4.26675E-01	4.27797E-01	4.29008E-01	4.30317E-01	4.31690E-01	4.33127E-01	4.34633E-01	4.36209E-01	4.37860E-01	4.39589E-01	4.41401E-01	4.43301E-01	4.45294E-01	4.47387E-01	4.49586E-01	4.52111E-01	4.52066E-01	4.51457E-01	4.52158E-01	4.56585E-01	4.66385E-01	4.85413E-01	
