Date	Max. air temperature oC      Sutton Bonington       	Min. air temperature oC      Sutton Bonington       	Solar radiation      W m-2   Sutton Bonington   TRS1	Vapour pressure      kPa     Sutton Bonington   TRS1	Wind speed           m s-1   Sutton Bonington   TRS1	
198701011200	9.20000E+00	5.10000E+00	6.94446E+00	8.80000E-01	3.29216E+00	
198701021200	6.10000E+00	4.50000E+00	1.04167E+01	8.20000E-01	2.72632E+00	
198701031200	6.10000E+00	-2.80000E+00	4.39816E+01	5.00000E-01	4.16664E+00	
198701041200	1.05000E+01	-2.70000E+00	1.15741E+01	8.10000E-01	2.98352E+00	
198701051200	7.20000E+00	4.10000E+00	3.58797E+01	6.90000E-01	4.52672E+00	
198701061200	4.90000E+00	2.70000E+00	4.05094E+01	5.10000E-01	2.67488E+00	
198701071200	4.40000E+00	-7.00000E-01	3.70371E+01	5.80000E-01	1.02880E+00	
198701081200	2.60000E+00	-4.40000E+00	4.16668E+01	4.20000E-01	9.25920E-01	
198701091200	1.10000E+00	-3.50000E+00	1.62037E+01	5.50000E-01	2.05760E+00	
198701101200	-4.00000E-01	-9.00000E-01	1.15741E+01	4.80000E-01	3.44648E+00	
198701111200	-3.40000E+00	-5.80000E+00	4.62964E+01	3.70000E-01	3.18928E+00	
198701121200	-4.80000E+00	-8.20000E+00	4.05094E+01	3.20000E-01	1.38888E+00	
198701131200	-4.00000E+00	-1.39000E+01	2.31482E+01	4.00000E-01	4.78392E+00	
198701141200	-4.00000E-01	-7.80000E+00	1.96760E+01	3.90000E-01	7.97320E+00	
198701151200	9.00000E-01	-4.60000E+00	9.25928E+00	5.60000E-01	5.40120E+00	
198701161200	1.10000E+00	-8.00000E-01	1.50463E+01	5.60000E-01	1.90328E+00	
198701171200	-1.10000E+00	-3.10000E+00	1.27315E+01	4.60000E-01	1.38888E+00	
198701181200	-2.00000E+00	-3.70000E+00	1.50463E+01	4.50000E-01	2.16048E+00	
198701191200	1.80000E+00	-3.40000E+00	1.73612E+01	4.80000E-01	1.95472E+00	
198701201200	3.90000E+00	-2.60000E+00	1.96760E+01	6.60000E-01	4.62960E-01	
198701211200	5.30000E+00	1.60000E+00	1.15741E+01	7.50000E-01	7.20160E-01	
198701221200	8.10000E+00	2.90000E+00	2.89353E+01	8.20000E-01	3.60080E-01	
198701231200	7.60000E+00	-1.10000E+00	2.54630E+01	7.40000E-01	1.28600E+00	
198701241200	6.60000E+00	2.60000E+00	1.04167E+01	8.70000E-01	7.71600E-01	
198701251200	5.50000E+00	9.00000E-01	9.25928E+00	7.80000E-01	1.13168E+00	
198701261200	5.10000E+00	2.10000E+00	1.38889E+01	7.00000E-01	6.68720E-01	
198701271200	2.40000E+00	4.00000E-01	8.10187E+00	6.30000E-01	6.17280E-01	
198701281200	4.20000E+00	6.00000E-01	3.58797E+01	5.10000E-01	1.08024E+00	
198701291200	4.40000E+00	-1.50000E+00	6.82872E+01	5.80000E-01	1.02880E+00	
198701301200	1.20000E+00	-6.00000E+00	7.65048E+01	4.60000E-01	8.23040E-01	
198701311200	2.80000E+00	-9.80000E+00	6.49307E+01	3.30000E-01	6.17280E-01	
198702011200	3.90000E+00	-7.10000E+00	6.25001E+01	4.10000E-01	2.00616E+00	
198702021200	4.40000E+00	-3.50000E+00	9.25928E+00	7.10000E-01	1.28600E+00	
198702031200	7.80000E+00	2.60000E+00	2.89353E+01	7.70000E-01	8.23040E-01	
198702041200	8.20000E+00	1.90000E+00	3.70371E+01	7.60000E-01	3.13784E+00	
198702051200	1.21000E+01	3.70000E+00	3.70371E+01	8.70000E-01	5.91560E+00	
198702061200	1.09000E+01	8.00000E+00	5.67131E+01	9.70000E-01	3.18928E+00	
198702071200	9.90000E+00	3.90000E+00	5.32409E+01	7.50000E-01	2.88064E+00	
198702081200	1.15000E+01	4.80000E+00	2.89353E+01	1.11000E+00	2.10904E+00	
198702091200	1.09000E+01	4.70000E+00	2.77778E+01	1.10000E+00	5.29832E+00	
198702101200	7.90000E+00	4.70000E+00	5.78705E+01	8.00000E-01	3.60080E+00	
198702111200	5.60000E+00	2.00000E+00	2.89353E+01	7.30000E-01	9.77360E-01	
198702121200	5.40000E+00	1.60000E+00	3.35649E+01	7.30000E-01	1.13168E+00	
198702131200	5.50000E+00	-1.10000E+00	4.05094E+01	5.70000E-01	1.74896E+00	
198702141200	4.70000E+00	1.40000E+00	3.58797E+01	6.50000E-01	1.08024E+00	
198702151200	4.40000E+00	-2.40000E+00	7.53474E+01	5.60000E-01	1.28600E+00	
198702161200	2.80000E+00	-8.00000E-01	4.86112E+01	5.80000E-01	2.36624E+00	
198702171200	3.70000E+00	-7.00000E-01	7.40742E+01	5.20000E-01	2.98352E+00	
198702181200	4.20000E+00	-1.30000E+00	8.69215E+01	5.50000E-01	1.74896E+00	
198702191200	9.00000E-01	-4.80000E+00	1.08912E+02	4.80000E-01	1.18312E+00	
198702201200	3.60000E+00	-4.00000E+00	1.12385E+02	5.40000E-01	4.16664E+00	
198702211200	5.90000E+00	-8.00000E-01	4.86112E+01	6.40000E-01	2.77776E+00	
198702221200	7.60000E+00	2.40000E+00	4.39816E+01	6.60000E-01	1.64608E+00	
198702231200	3.20000E+00	2.00000E+00	2.31482E+01	6.10000E-01	1.33744E+00	
198702241200	3.80000E+00	-7.00000E-01	6.71298E+01	5.30000E-01	2.21192E+00	
198702251200	4.40000E+00	-4.30000E+00	1.05440E+02	4.60000E-01	2.00616E+00	
198702261200	1.03000E+01	-1.40000E+00	2.31482E+01	4.90000E-01	4.11520E+00	
198702271200	1.38000E+01	2.10000E+00	7.29168E+01	1.09000E+00	3.03496E+00	
198702281200	1.28000E+01	8.00000E+00	5.20835E+01	1.05000E+00	2.88064E+00	
198703011200	1.23000E+01	5.20000E+00	2.77778E+01	1.12000E+00	2.82920E+00	
198703021200	8.90000E+00	6.70000E+00	8.44909E+01	7.90000E-01	4.93824E+00	
198703031200	2.40000E+00	3.00000E-01	6.25001E+01	5.50000E-01	3.13784E+00	
198703041200	5.20000E+00	-2.80000E+00	5.55557E+01	5.20000E-01	1.13168E+00	
198703051200	7.40000E+00	-1.60000E+00	5.67131E+01	6.90000E-01	2.57200E+00	
198703061200	1.60000E+00	5.00000E-01	1.85186E+01	6.30000E-01	3.75512E+00	
198703071200	2.40000E+00	-3.00000E-01	2.89353E+01	5.20000E-01	3.90944E+00	
198703081200	3.80000E+00	-4.00000E-01	6.94446E+01	5.50000E-01	3.13784E+00	
198703091200	3.20000E+00	-2.10000E+00	6.71298E+01	5.00000E-01	3.34360E+00	
198703101200	5.10000E+00	-2.80000E+00	9.27085E+01	5.30000E-01	2.77776E+00	
198703111200	5.50000E+00	-3.30000E+00	1.47107E+02	5.70000E-01	2.36624E+00	
198703121200	5.10000E+00	-5.90000E+00	1.36690E+02	5.20000E-01	9.25920E-01	
198703131200	4.50000E+00	-2.10000E+00	6.82872E+01	4.80000E-01	1.49176E+00	
198703141200	6.40000E+00	-4.10000E+00	1.28588E+02	5.00000E-01	1.90328E+00	
198703151200	8.50000E+00	5.00000E-01	7.18752E+01	6.70000E-01	2.52056E+00	
198703161200	8.30000E+00	3.00000E-01	1.20486E+02	5.80000E-01	3.39504E+00	
198703171200	1.26000E+01	3.60000E+00	8.44909E+01	8.80000E-01	5.09256E+00	
198703181200	7.10000E+00	1.40000E+00	1.29746E+02	5.10000E-01	1.69752E+00	
198703191200	6.20000E+00	-3.30000E+00	1.42477E+02	4.40000E-01	2.82920E+00	
198703201200	5.90000E+00	2.00000E-01	1.19329E+02	5.70000E-01	1.85184E+00	
198703211200	6.80000E+00	-2.50000E+00	1.17014E+02	6.10000E-01	1.64608E+00	
198703221200	9.10000E+00	-1.10000E+00	1.21528E+01	6.70000E-01	3.18928E+00	
198703231200	1.20000E+01	4.10000E+00	5.78705E+01	1.02000E+00	2.57200E+00	
