Date	Nitrogen            g m²      0- 25(NNO3)  A 001  13	Nitrogen            g m²     25- 50(NNO3)  A 001  38	Nitrogen            g m²     50- 75(NNO3)  A 001  63	Nitrogen            g m²     75-100(NNO3)  A 001  88	Nitrogen            g m²    100-150(NNO3)  A 001 125	Nitrogen            g m²    (Nt) Plant-N   A 001    	Cumulated Nitrogen  g m²    Denitrified NO A 001    	Cumulated Nitrogen  g m²    Leached NO3-N  A 001    	Nitrogen            g m²      0- 25(NNH4)  A 001  13	Nitrogen            g m²     25- 50(NNH4)  A 001  38	Nitrogen            g m²     50- 75(NNH4)  A 001  63	Nitrogen            g m²     75-100(NNH4)  A 001  88	Nitrogen            g m²    100-150(NNH4)  A 001 125	Nitrogen            g m²    Harvest residu A 001    	Nitrogen flow       g m²day Deposition (to A 001    	Nitrogen flow       g m²day  75-100        A 001  88	Nitrogen flow       g m²day   0- 25 Man-fa A 001  13	Nitrogen flow       g m²day Harvest export A 001    	Nitrogen flow       g m²day   0- 25 Man-NH A 001  13	Nitrate-N           mg l      0- 25 water  A 001  13	Nitrogen flow       g m²day NO3-N tile dra A 001    	Nitrogen flow       g m²day NO3-N stream Q A 001    	Nitrogen            g m²    Litter tot pro A 001    	Nitrogen            g m²    Faeces tot pro A 001    	Nitrogen            g m²    Humus tot prof A 001    	Nitrogen            g m²    NH4-N tot prof A 001    	Nitrogen            g m²    NO3-N tot prof A 001    	Depth               m       (zr) RootDepth A 001    	Nitrogen flow       g m²day (XNd) PotPlant A 001    	Nitrogen flow       g m²day Act denitrific A 001    	Nitrogen flow       g m²day (XNu) ActPlant A 001    	Water flow          mm day  In drainage ti A 001    	Water flow          mm day  In stream      A 001    	Nitrogen flow       g m²day Litter-NH4     A 001    	Nitrogen flow       g m²day Faeces-NH4     A 001    	Nitrogen flow       g m²day Org-NH4        A 001    	C-N ratio           -         0- 25 Litter A 001  13	C-N ratio           -        25- 50 Litter A 001  38	C-N ratio           -        50- 75 Litter A 001  63	C-N ratio           -        75-100 Litter A 001  88	C-N ratio           -       100-150 Litter A 001 125	C-N ratio           -         0- 25 Faeces A 001  13	Nitrogen            mg l    NO3-N stream   A 001    	Nitrogen            mg l    NO3-N tile dra A 001    	Water flow          mm day  Surface runoff A 001    	Water flow          mm day  Surface runoff A 001    	Water flow          mm day  Percolation    A 001    	
198501011200	1.03453E+00	5.41769E-01	3.26009E-01	2.16499E-01	4.68796E-03	0.00000E+00	0.00000E+00	0.00000E+00	9.98584E-01	4.66613E-01	2.78701E-01	1.86079E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.68796E-03	0.00000E+00	0.00000E+00	0.00000E+00	1.52830E+01	0.00000E+00	0.00000E+00	4.24800E+00	0.00000E+00	8.45000E+02	2.00000E+00	2.00000E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	3.69091E-02	0.00000E+00	1.60168E-02	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	
198501021200	1.03462E+00	5.63820E-01	3.46964E-01	2.30841E-01	9.56591E-03	0.00000E+00	0.00000E+00	5.08213E-05	9.98469E-01	4.41030E-01	2.60775E-01	1.74174E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.92877E-03	0.00000E+00	0.00000E+00	0.00000E+00	1.66392E+01	0.00000E+00	5.08213E-05	4.20371E+00	0.00000E+00	8.44991E+02	1.92998E+00	2.12350E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.43187E+00	4.37404E-03	0.00000E+00	1.91432E-03	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	3.54906E-02	0.00000E+00	0.00000E+00	0.00000E+00	1.43187E+00	
198501031200	1.03526E+00	5.73864E-01	3.62481E-01	2.42820E-01	1.44302E-02	0.00000E+00	0.00000E+00	1.54592E-04	9.98469E-01	4.24780E-01	2.46075E-01	1.63994E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.96803E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.08988E+01	0.00000E+00	1.03771E-04	4.19846E+00	0.00000E+00	8.44990E+02	1.87445E+00	2.18581E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.43335E+00	1.01934E-03	0.00000E+00	4.47735E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	7.23921E-02	0.00000E+00	0.00000E+00	0.00000E+00	1.43335E+00	
198501041200	1.03581E+00	5.80792E-01	3.74374E-01	2.52860E-01	1.91191E-02	0.00000E+00	0.00000E+00	3.09771E-04	9.98469E-01	4.12951E-01	2.34174E-01	1.55203E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.84413E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.54926E+01	0.00000E+00	1.55179E-04	4.19724E+00	0.00000E+00	8.44990E+02	1.83332E+00	2.22885E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.42036E+00	8.21180E-04	0.00000E+00	3.63284E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.09246E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.42036E+00	
198501051200	1.03636E+00	5.85867E-01	3.83258E-01	2.61153E-01	2.35602E-02	0.00000E+00	0.00000E+00	5.12248E-04	9.98469E-01	4.03731E-01	2.24902E-01	1.47780E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.64352E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.54839E+01	0.00000E+00	2.02476E-04	4.19625E+00	0.00000E+00	8.44990E+02	1.80080E+00	2.26295E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.39722E+00	6.79437E-04	0.00000E+00	3.02641E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.44903E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.39722E+00	
198501061200	1.03690E+00	5.89765E-01	3.90197E-01	2.67917E-01	2.77390E-02	0.00000E+00	0.00000E+00	7.56619E-04	9.98469E-01	3.96216E-01	2.17389E-01	1.41621E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.42316E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.60048E+01	0.00000E+00	2.44371E-04	4.19544E+00	0.00000E+00	8.44990E+02	1.77488E+00	2.29019E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.36614E+00	5.77974E-04	0.00000E+00	2.59057E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.78864E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.36614E+00	
198501071200	1.03745E+00	5.92872E-01	3.95824E-01	2.73585E-01	3.16638E-02	0.00000E+00	0.00000E+00	1.03724E-03	9.98469E-01	3.89882E-01	2.11095E-01	1.36373E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.20543E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.65382E+01	0.00000E+00	2.80626E-04	4.19474E+00	0.00000E+00	8.44990E+02	1.75370E+00	2.31252E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.32962E+00	5.05051E-04	0.00000E+00	2.27611E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	2.11042E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.32962E+00	
198501081200	1.03800E+00	5.95441E-01	4.00533E-01	2.78449E-01	3.53537E-02	0.00000E+00	0.00000E+00	1.34876E-03	9.98469E-01	3.84392E-01	2.05672E-01	1.31799E-01	0.00000E+00	0.00000E+00	5.47945E-04	4.00145E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.70930E+01	0.00000E+00	3.11511E-04	4.19414E+00	0.00000E+00	8.44989E+02	1.73582E+00	2.33140E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.28980E+00	4.51680E-04	0.00000E+00	2.04561E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	2.41500E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.28980E+00	
198501091200	1.03855E+00	5.97636E-01	4.04583E-01	2.82701E-01	3.88304E-02	0.00000E+00	0.00000E+00	1.68630E-03	9.98469E-01	3.79522E-01	2.00890E-01	1.27740E-01	0.00000E+00	0.00000E+00	5.47945E-04	3.81425E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.79175E+01	0.00000E+00	3.37545E-04	4.19359E+00	0.00000E+00	8.44989E+02	1.72033E+00	2.34778E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.24834E+00	4.11859E-04	0.00000E+00	1.87371E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	2.70374E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.24834E+00	
198501101200	1.03910E+00	5.99567E-01	4.08142E-01	2.86475E-01	4.21147E-02	0.00000E+00	0.00000E+00	2.04562E-03	9.98469E-01	3.75119E-01	1.96592E-01	1.24087E-01	0.00000E+00	0.00000E+00	5.47945E-04	3.64355E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.85512E+01	0.00000E+00	3.59316E-04	4.19310E+00	0.00000E+00	8.44989E+02	1.70662E+00	2.36230E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.20642E+00	3.81543E-04	0.00000E+00	1.74315E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	2.97812E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.20642E+00	
198501111200	1.03964E+00	6.01314E-01	4.11329E-01	2.89866E-01	4.52252E-02	0.00000E+00	0.00000E+00	2.42302E-03	9.98469E-01	3.71072E-01	1.92673E-01	1.20763E-01	0.00000E+00	0.00000E+00	5.47945E-04	3.48797E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.90484E+01	0.00000E+00	3.77398E-04	4.19264E+00	0.00000E+00	8.44989E+02	1.69427E+00	2.37540E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.16487E+00	3.58294E-04	0.00000E+00	1.64354E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	3.23955E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.16487E+00	
198501121200	1.04019E+00	6.02924E-01	4.14222E-01	2.92942E-01	4.81788E-02	0.00000E+00	0.00000E+00	2.81533E-03	9.98469E-01	3.67310E-01	1.89057E-01	1.17712E-01	0.00000E+00	0.00000E+00	5.47945E-04	3.34585E-03	0.00000E+00	0.00000E+00	0.00000E+00	2.97468E+01	0.00000E+00	3.92315E-04	4.19221E+00	0.00000E+00	8.44989E+02	1.68298E+00	2.38738E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.12425E+00	3.39689E-04	0.00000E+00	1.56424E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	3.48926E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.12425E+00	
198501131200	1.04074E+00	6.04432E-01	4.16877E-01	2.95752E-01	5.09898E-02	0.00000E+00	0.00000E+00	3.21986E-03	9.98469E-01	3.63779E-01	1.85692E-01	1.14895E-01	0.00000E+00	0.00000E+00	5.47945E-04	3.21554E-03	0.00000E+00	0.00000E+00	0.00000E+00	3.01782E+01	0.00000E+00	4.04529E-04	4.19181E+00	0.00000E+00	8.44989E+02	1.67255E+00	2.39846E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.08491E+00	3.24655E-04	0.00000E+00	1.50061E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	3.72837E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.08491E+00	
198501141200	1.04129E+00	6.05865E-01	4.19337E-01	2.98334E-01	5.36709E-02	0.00000E+00	0.00000E+00	3.63430E-03	9.98469E-01	3.60435E-01	1.82538E-01	1.12279E-01	0.00000E+00	0.00000E+00	5.47945E-04	3.09560E-03	0.00000E+00	0.00000E+00	0.00000E+00	3.03233E+01	0.00000E+00	4.14442E-04	4.19142E+00	0.00000E+00	8.44989E+02	1.66283E+00	2.40879E+00	-1.00000E-02	0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00	1.04705E+00	3.12304E-04	0.00000E+00	1.44879E-04	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	1.00000E+01	3.95780E-01	0.00000E+00	0.00000E+00	0.00000E+00	1.04705E+00	
