Period        Av_FluxConc_at_reporting_depth
 1             0 
 2             0 
 3             6.875725E-15 
 4             6.972712E-05 
 5             0.008542527 
 6             0.1082048 
 7             0.2614116 
 8             0.5438976 
 9             0.3985576 
 10            0.6671019 
 11            1.316373 
 12            2.229821 
 13            2.527837 
 14            2.271833 
 15            2.958443 
 16            2.652382 
 17            2.574358 
 18            1.569357 
 19            1.195599 
 20            1.331096 
 21            0.7228516 
 22            0 
 23            0.4175693 
 24            0.2029206 
 25            0.09502561 
 26            0.1555655 
