Period        Percolation_at_reporting_depth
 1             27.00035 
 2             8.420302 
 3             85.92323 
 4             113.2944 
 5             73.66701 
 6             99.70985 
 7             235.4672 
 8             25.20584 
 9             249.3502 
 10            210.2059 
 11            313.4291 
 12            203.4874 
 13            256.798 
 14            237.1994 
 15            142.3573 
 16            313.4566 
 17            102.0847 
 18            133.4672 
 19            185.3687 
 20            228.7884 
 21            45.8271 
 22            8.421691 
 23            85.92336 
 24            113.2946 
 25            73.6672 
 26            99.70992 
